"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"1","Joel Embiid","Phi","C-F","29","55","35","37.3","14.5","654","0.856","959","0.574","169","0.355","0.567","0.65","33.5","10.2","4.1","1.1","1.7","3.5","43.6","37.5","47.7","12.8","123.6","103.7"
"2","Luka Doncic","Dal","F-G","24","57","36.3","38.2","14.3","629","0.736","804","0.586","453","0.349","0.563","0.613","33","8.6","8","1.5","0.5","3.7","41.6","41","49.6","14.5","120.6","108.2"
"3","Damian Lillard","Por","G","32.7","55","36.3","33.8","13.5","517","0.919","518","0.573","625","0.376","0.568","0.647","32.3","4.7","7.3","0.9","0.3","3.2","37","39.5","44.2","11.4","127.7","116.3"
"4","Giannis Antetokounmpo","Mil","F","28.3","55","32.4","39.1","16.1","700","0.651","979","0.582","155","0.284","0.561","0.599","31.4","11.9","5.5","0.7","0.8","3.9","43.3","36.9","48.8","15.7","116.1","99.7"
"5","Shai Gilgeous-Alexander","Okc","G-F","24.7","59","35.6","32.7","12.4","627","0.906","1050","0.533","148","0.351","0.533","0.626","31.3","4.8","5.5","1.7","1","2.9","36","36.8","41.6","10.5","124.6","109.7"
"6","Stephen Curry","Gol","G","35","44","34.8","31","14.2","234","0.915","376","0.59","505","0.44","0.63","0.673","30.1","6.2","6.3","1","0.4","3.3","36.3","36.4","42.5","12.1","124.4","111.6"
"7","Jayson Tatum","Bos","F-G","25","65","37.4","32.8","12.1","544","0.86","779","0.547","613","0.347","0.536","0.6","30.1","9","4.7","1","0.8","2.9","39.1","34.9","43.8","11.6","117.7","107.5"
"8","Kevin Durant","Bro","F","34.5","39","36","31.5","15.6","285","0.937","545","0.622","189","0.376","0.607","0.674","29.7","6.7","5.3","0.8","1.5","3.5","36.4","35","41.7","11.3","122.3","110.6"
"9","LeBron James","Lal","F","38.2","47","36.1","33.2","12.2","295","0.759","735","0.588","325","0.308","0.549","0.583","29.5","8.4","6.9","0.9","0.6","3.1","38","36.5","44.9","13.2","115","110.3"
"10","Devin Booker","Pho","G","26.4","43","34.5","32","11","263","0.84","623","0.544","262","0.366","0.546","0.593","27.6","4.5","5.6","0.9","0.4","2.5","32.1","33.2","37.7","10.3","118.5","109.2"
"11","Kyrie Irving","Dal","G","31","11","37.9","28.1","10.2","54","0.944","124","0.581","87","0.414","0.597","0.645","27.5","5.1","6.6","1.2","0.4","2.2","32.6","34.2","39.3","10.3","129.3","110.7"
"12","Donovan Mitchell","Cle","G","26.5","60","35.7","31.7","11.5","308","0.873","656","0.563","563","0.38","0.566","0.609","27.5","4.1","4.7","1.5","0.4","2.7","31.6","32.2","36.3","9.1","118.1","106.9"
"13","Kyrie Irving","Bro","G","31","40","36.9","29.8","10","179","0.883","471","0.569","348","0.374","0.565","0.604","27.1","5.1","5.3","1","0.8","2.3","32.2","32.4","37.5","9.8","117.9","111.6"
"14","Ja Morant","Mem","G","23.6","53","32.5","35.4","14.1","453","0.744","825","0.512","269","0.316","0.502","0.555","27.1","6","8.2","1.1","0.2","3.4","33.1","35.3","41.3","13.5","114.5","108.8"
"15","Trae Young","Atl","G","24.5","62","35","33.2","17.1","532","0.891","814","0.486","408","0.336","0.492","0.576","27","3","10.1","1.1","0.1","4.1","30.1","37.1","40.1","10.7","116.6","117.1"
"16","Jaylen Brown","Bos","G-F","26.4","58","36.2","31.3","12.7","317","0.776","760","0.575","426","0.338","0.551","0.585","26.8","6.9","3.3","1.2","0.4","3","33.7","30.1","37","9.4","110.3","106.8"
"17","Kevin Durant","Pho","F","34.5","3","32.7","24.1","12.4","17","0.882","29","0.759","13","0.538","0.774","0.808","26.7","7.3","3.7","0.3","1.3","2","34","30.3","37.7","11","145","110.7"
"18","Mikal Bridges","Bro","F","26.5","15","34.6","28.4","8.3","98","0.888","174","0.529","90","0.444","0.576","0.637","26.1","4.7","2.7","1","0.8","1.6","30.8","28.7","33.5","8","123.2","114"
"19","Anthony Davis","Lal","F-C","30","44","33.5","29","11.7","339","0.805","697","0.588","67","0.269","0.572","0.628","26.1","12.6","2.5","1","2.1","2.3","38.7","28.6","41.2","11.2","123.7","104.7"
"20","Zion Williamson","Nor","F","22.7","29","33","30.3","17.4","248","0.714","450","0.618","19","0.368","0.615","0.652","26","7","4.6","1.1","0.6","3.4","33","30.6","37.6","11.4","120.3","108.9"
"21","De'Aaron Fox","Sac","G","25.2","62","34.1","30","12.5","391","0.775","840","0.579","305","0.334","0.558","0.6","25.5","4.3","6.1","1.2","0.3","2.6","29.8","31.6","36","10.3","118.6","111.5"
"22","Lauri Markkanen","Uta","F-C","25.8","62","34.4","26.2","10.2","368","0.87","587","0.586","469","0.403","0.594","0.647","25.4","8.5","1.8","0.6","0.6","1.9","34","27.2","35.8","8.5","126.6","112.4"
"23","Julius Randle","Nyk","F-C","28.3","71","35.9","29.4","13.1","495","0.754","736","0.55","592","0.343","0.534","0.58","25.2","10.3","4.1","0.6","0.3","2.8","35.5","29.4","39.7","11.4","116.8","105.4"
"24","DeMar DeRozan","Chi","G-F","33.6","62","36.3","28.2","11","457","0.867","1001","0.526","104","0.337","0.524","0.595","25.1","4.5","5.1","1","0.5","2.2","29.6","30.1","34.7","9.2","118.8","109.3"
"25","Anthony Edwards","Min","G","21.6","70","36.4","29.8","14.7","378","0.767","858","0.515","519","0.368","0.529","0.566","25","6","4.5","1.6","0.7","3.4","30.9","29.4","35.4","9.6","106.2","109.9"
"26","Zach LaVine","Chi","G-F","28","64","36","28.2","12.5","364","0.849","693","0.543","466","0.382","0.555","0.605","24.9","4.8","4","0.9","0.2","2.6","29.7","28.9","33.7","8.7","115","110.7"
"27","Nikola Jokic","Den","C","28.1","62","33.9","27.2","19.2","380","0.816","795","0.672","132","0.402","0.662","0.702","24.8","11.9","9.9","1.2","0.7","3.5","36.6","34.7","46.6","16.9","135.5","105.7"
"28","Pascal Siakam","Tor","F","29","60","37.5","27.4","11.8","412","0.765","873","0.507","244","0.344","0.509","0.56","24.2","7.7","5.9","0.9","0.5","2.5","31.9","30.1","37.8","11","117","109.1"
"29","Jalen Brunson","Nyk","G","26.5","62","34.9","27","10.3","365","0.833","788","0.514","290","0.414","0.543","0.595","23.8","3.6","6.1","0.9","0.2","2","27.4","29.9","33.5","9.2","124.9","111.8"
"30","Kawhi Leonard","Lac","F","31.7","42","33.5","27","9","230","0.878","506","0.547","193","0.42","0.57","0.624","23.8","6.4","3.9","1.4","0.5","1.6","30.1","27.7","34","10","125.7","111.1"
"31","Paul George","Lac","F","32.9","53","34.6","29.3","15","276","0.877","532","0.521","408","0.375","0.539","0.591","23.7","6.1","5.2","1.4","0.3","3.1","29.8","28.9","35","10.5","113.6","107.6"
"32","Bradley Beal","Was","G","29.7","47","33.5","29.2","14.1","209","0.847","620","0.56","208","0.37","0.559","0.599","23.4","3.8","5.5","0.9","0.7","2.9","27.3","28.9","32.7","9.4","115.1","113.3"
"33","LaMelo Ball","Cha","G","21.6","36","35.2","29.9","15.2","121","0.843","338","0.45","383","0.376","0.51","0.541","23.3","6.4","8.4","1.3","0.3","3.6","29.7","31.7","38.1","12.2","108.7","108.7"
"34","Brandon Ingram","Nor","F","25.5","32","32.9","30.3","15.3","171","0.865","441","0.497","127","0.386","0.515","0.57","22.9","5","4.8","0.7","0.4","3.2","27.9","27.8","32.8","10","108.3","108.3"
"35","Kristaps Porzingis","Was","F-C","27.6","59","32.7","27.4","12","393","0.845","588","0.551","326","0.377","0.556","0.621","22.9","8.5","2.6","0.9","1.6","2.1","31.3","25.5","33.9","9.7","121.3","106"
"36","Jimmy Butler","Mia","F","33.5","56","33.3","25.8","10.7","483","0.853","690","0.551","92","0.337","0.545","0.636","22.6","6.1","5.1","1.9","0.4","1.7","28.7","27.6","33.7","10.7","133.3","110.4"
"37","Klay Thompson","Gol","G","33.1","58","32.8","26.8","8.7","121","0.876","448","0.471","614","0.41","0.555","0.576","22.1","4.1","2.4","0.7","0.4","1.7","26.2","24.6","28.7","7.3","109.8","114.2"
"38","Darius Garland","Cle","G","23.1","61","35.2","27.1","15.3","299","0.853","611","0.498","377","0.419","0.548","0.597","21.9","2.7","7.8","1.3","0.1","2.9","24.6","29.7","32.4","8.8","118.9","108.7"
"39","James Harden","Phi","G","33.6","51","36.9","25.4","18.7","341","0.868","371","0.504","377","0.395","0.549","0.622","21.9","6.2","10.8","1.2","0.5","3.4","28.1","32.7","39","12.3","125.6","110.5"
"40","Keldon Johnson","San","F-G","23.4","58","32.7","27.8","11.1","302","0.762","640","0.52","373","0.324","0.508","0.549","21.7","4.9","2.9","0.7","0.2","2.2","26.6","24.6","29.5","8.3","108","117.8"
"41","Bojan Bogdanovic","Det","F","33.9","59","32.1","25.8","13.3","303","0.884","529","0.539","353","0.411","0.57","0.627","21.6","3.8","2.6","0.6","0.1","2.3","25.4","24.2","27.9","7.4","117.9","117"
"42","Jalen Green","Hou","G","21.1","63","33.8","28.4","13.5","363","0.782","654","0.462","471","0.335","0.479","0.53","21.6","3.9","3.6","0.8","0.3","2.8","25.5","25.2","29","8","106.5","118.3"
"43","Terry Rozier","Cha","G","29","60","35.7","26.8","10.2","213","0.803","662","0.48","485","0.33","0.486","0.519","21.5","4.2","5.1","1.2","0.3","2.2","25.7","26.5","30.7","8.7","106.5","114.8"
"44","Kyle Kuzma","Was","F","27.6","62","35.2","28","14.3","231","0.727","645","0.53","467","0.332","0.517","0.543","21.2","7.3","3.8","0.5","0.5","3","28.6","25","32.4","9.5","103","110.9"
"45","Anfernee Simons","Por","G","23.8","60","35","25.3","11","168","0.905","467","0.529","548","0.381","0.552","0.585","21.2","2.6","4.1","0.7","0.2","2.1","23.8","25.3","27.9","7","114.1","116.4"
"46","Desmond Bane","Mem","G","24.7","46","31","26.3","11.8","167","0.892","411","0.516","324","0.407","0.558","0.599","21.1","5","4.3","0.9","0.4","2.1","26.1","25.3","30.4","9.9","118.3","106.3"
"47","CJ McCollum","Nor","G","31.5","62","35.1","27.1","12.6","199","0.789","668","0.472","459","0.379","0.511","0.539","21.1","4.4","6","0.9","0.5","2.6","25.5","27.1","31.5","9.4","108.9","111.9"
"48","Bam Adebayo","Mia","C-F","25.7","66","35.1","25.5","14.4","363","0.804","996","0.548","12","0.083","0.543","0.594","21","9.4","3.2","1.2","0.8","2.6","30.4","24.3","33.7","9.8","115.8","104.6"
"49","Jordan Clarkson","Uta","G","30.8","61","32.6","27.9","15.3","245","0.816","572","0.53","459","0.338","0.519","0.558","20.8","4","4.4","0.5","0.2","3","24.9","25.3","29.3","8.8","109.2","115.6"
"50","Tyrese Haliburton","Ind","G","23","54","33.7","23.9","14.2","194","0.866","423","0.567","392","0.403","0.585","0.623","20.8","3.7","10.4","1.6","0.4","2.5","24.4","31.2","34.9","11","128.9","118"
"51","Karl-Anthony Towns","Min","C-F","27.3","21","33.8","24.9","17.6","104","0.885","186","0.618","117","0.325","0.568","0.625","20.8","8.2","5.3","0.8","0.7","3.1","29","26","34.2","11.4","118.4","104.5"
"52","Dejounte Murray","Atl","G","26.5","64","36.4","24.7","11.1","156","0.833","798","0.509","351","0.359","0.518","0.542","20.6","5.4","6","1.5","0.3","2.3","26","26.6","32","9.6","111.1","115.1"
"53","Kelly Oubre Jr.","Cha","F-G","27.3","45","32.7","26.3","7","188","0.777","457","0.508","323","0.325","0.499","0.536","20.6","5.4","1.1","1.4","0.4","1.3","25.9","21.7","27","6.1","107.6","109.3"
"54","Jerami Grant","Por","F","29","63","35.6","22.9","11.3","342","0.813","554","0.523","359","0.401","0.554","0.606","20.5","4.5","2.4","0.8","0.8","1.8","25","22.9","27.3","6.8","117.9","114.9"
"55","Jordan Poole","Gol","G","23.7","70","30.7","29.2","16.8","343","0.869","563","0.524","552","0.332","0.511","0.568","20.5","2.8","4.6","0.8","0.2","3.2","23.3","25.1","27.9","8.4","107.1","111.7"
"56","Tyler Herro","Mia","G","23.2","57","35.3","25.8","12.7","161","0.925","502","0.488","461","0.375","0.524","0.56","20.3","5.6","4.3","0.8","0.3","2.5","25.9","24.6","30.3","8.9","108.3","110.8"
"57","Paolo Banchero","Orl","F","20.3","63","33.8","27.7","14.8","468","0.746","737","0.474","255","0.286","0.462","0.528","20.1","6.7","3.6","0.9","0.5","2.7","26.7","23.7","30.3","9.3","105","110.3"
"58","Cade Cunningham","Det","G","21.5","12","33.4","29.9","14.8","43","0.837","163","0.466","61","0.279","0.453","0.492","19.9","6.2","6","0.8","0.6","3.3","26.1","25.9","32.1","10.8","100.1","112.2"
"59","Tyrese Maxey","Phi","G","22.4","49","32.9","24.7","8.1","183","0.836","457","0.505","290","0.414","0.55","0.589","19.9","2.8","3.4","0.8","0.1","1.3","22.7","23.3","26.1","7","117.7","111.6"
"60","Jamal Murray","Den","G","26.1","56","32.9","26.4","12","196","0.827","541","0.492","370","0.381","0.524","0.56","19.9","4","6.1","1.1","0.2","2.2","23.9","26","30","9.6","114.8","114.2"
"61","RJ Barrett","Nyk","F-G","22.8","64","34.1","26.3","11.9","341","0.745","700","0.49","347","0.317","0.485","0.53","19.8","5.2","2.7","0.5","0.2","2.2","25","22.5","27.7","7.7","107","110.3"
"62","Jrue Holiday","Mil","G","32.8","58","33.1","25","15.9","155","0.858","534","0.537","368","0.378","0.549","0.579","19.4","5.2","7.3","1.2","0.4","2.9","24.5","26.7","31.8","10.9","116.9","108.5"
"63","Fred VanVleet","Tor","G","29.1","58","37","22.8","10.6","230","0.896","423","0.454","510","0.349","0.492","0.543","19.4","4.2","7","1.7","0.6","1.9","23.6","26.4","30.6","9","117.6","110.3"
"64","Domantas Sabonis","Sac","F-C","26.9","67","34.7","21.3","20","367","0.766","721","0.634","75","0.36","0.625","0.666","19","12.6","7.1","0.8","0.5","3","31.6","26.2","38.7","13.8","131.9","104.8"
"65","D'Angelo Russell","Lal","G","27.1","8","29","25.8","14.6","27","0.852","55","0.527","56","0.411","0.572","0.61","18.8","3.8","5.9","0.6","0.4","2.4","22.5","24.6","28.4","10.3","119","113"
"66","Franz Wagner","Orl","F","21.6","69","32.9","23.4","13","276","0.833","652","0.543","315","0.371","0.548","0.592","18.7","3.9","3.4","0.9","0.2","2.1","22.6","22.1","26.1","7.6","115.4","111.8"
"67","Kevin Porter Jr.","Hou","G-F","22.9","47","33.7","24.8","18.3","208","0.769","412","0.5","288","0.347","0.509","0.551","18.6","5.5","5.9","1.3","0.3","3.3","24.1","24.4","29.9","10","109.6","113.3"
"68","Devin Vassell","San","G-F","22.6","34","31","24.4","8.9","92","0.793","298","0.477","231","0.385","0.521","0.548","18.4","3.9","3.5","1.1","0.4","1.5","22.2","21.9","25.8","8.1","110.2","118.6"
"69","Deandre Ayton","Pho","C","24.7","61","30.4","23.4","11.8","181","0.751","803","0.598","24","0.292","0.593","0.616","18.3","10.1","1.8","0.6","0.8","1.8","28.5","20.1","30.3","9.1","119","104.4"
"70","Spencer Dinwiddie","Bro","G","29.9","15","35.4","24.4","14.4","80","0.8","125","0.496","95","0.295","0.473","0.533","18.1","4.1","7.8","1.3","0.4","2.5","22.2","25.9","30","9.4","111.5","111.1"
"71","D'Angelo Russell","Min","G","27.1","54","32.9","22.7","16.8","167","0.856","348","0.546","378","0.392","0.567","0.605","17.9","3.1","6.2","1.1","0.4","2.7","21","24.1","27.1","8.5","115.5","113"
"72","Myles Turner","Ind","C-F","27","58","29.6","22","12.2","250","0.78","449","0.63","241","0.382","0.61","0.648","17.9","7.6","1.4","0.6","2.4","1.7","25.5","19.2","26.8","7.8","121.1","106.7"
"73","Spencer Dinwiddie","Dal","G","29.9","53","34.1","21.9","11.4","207","0.821","353","0.504","341","0.405","0.555","0.599","17.7","3.1","5.2","0.7","0.3","1.7","20.8","23","26.1","7.7","121","113.4"
"74","Gary Trent Jr.","Tor","G-F","24.2","61","32.6","21.7","5.6","195","0.841","453","0.497","422","0.367","0.523","0.562","17.7","2.6","1.6","1.6","0.2","0.9","20.3","19.3","21.9","5.1","116.4","114"
"75","Nikola Vucevic","Chi","C","32.4","68","33.9","21.9","10.8","133","0.82","656","0.587","315","0.346","0.565","0.586","17.7","11.4","3.3","0.7","0.8","1.7","29.1","21.1","32.4","10.3","117.3","106.1"
"76","Christian Wood","Dal","F","27.5","57","26.6","26.6","13.4","242","0.773","428","0.61","250","0.368","0.588","0.628","17.3","7.7","1.6","0.4","1.1","1.8","25","18.9","26.6","9","117.1","105.7"
"77","Mikal Bridges","Pho","F","26.5","56","36.4","19.2","9.3","174","0.897","503","0.503","261","0.387","0.529","0.574","17.2","4.3","3.6","1.2","0.8","1.4","21.6","20.8","25.2","7.1","118.6","112.5"
"78","Buddy Hield","Ind","G","30.2","70","31.7","20.9","11.7","110","0.827","324","0.519","606","0.426","0.597","0.614","17.2","5","2.7","1.2","0.3","1.8","22.2","19.9","24.9","7.8","115.2","114.4"
"79","Michael Porter Jr.","Den","F","24.7","53","28.9","22.3","8","104","0.808","304","0.592","377","0.411","0.606","0.625","17.2","5.3","1.1","0.7","0.5","1.1","22.5","18.2","23.5","6.4","118.5","110.3"
"80","Andrew Wiggins","Gol","F","28.1","37","32.2","21.5","8.3","72","0.611","304","0.53","225","0.396","0.557","0.564","17.1","5","2.3","1.2","0.8","1.3","22.1","19.4","24.4","7.2","112.5","109.6"
"81","Jaren Jackson Jr.","Mem","F-C","23.5","51","27.8","23.4","11.1","226","0.788","396","0.571","229","0.345","0.551","0.598","17","6.6","0.8","1.1","3.1","1.5","23.6","17.8","24.5","6.4","116.4","99.3"
"82","Aaron Gordon","Den","F","27.5","58","30.1","21.2","11.9","279","0.62","494","0.646","147","0.367","0.624","0.637","16.8","6.7","2.9","0.8","0.7","1.5","23.5","19.7","26.3","9.1","127.2","111.4"
"83","O.G. Anunoby","Tor","F","25.7","56","35.7","19.8","14.2","156","0.833","442","0.532","297","0.377","0.545","0.579","16.7","5.1","1.9","2","0.7","2.2","21.9","18.6","23.8","6.1","110.3","108.6"
"84","Cameron Johnson","Bro","F","27","14","30.8","22","6.4","57","0.789","75","0.56","101","0.347","0.537","0.582","16.7","4.9","1.7","1.3","0.3","0.9","21.6","18.4","23.4","6.7","115.2","110.2"
"85","Bennedict Mathurin","Ind","G-F","20.7","67","27.8","25.2","12.6","384","0.828","549","0.485","279","0.315","0.481","0.559","16.6","4","1.4","0.6","0.1","1.8","20.6","18","22","6.5","109","115"
"86","Norman Powell","Lac","G","29.8","54","25.8","25.9","12.4","239","0.803","364","0.522","266","0.41","0.561","0.611","16.6","2.9","1.8","0.8","0.3","1.6","19.6","18.4","21.3","6.9","115.1","110.2"
"87","Josh Giddey","Okc","G","20.4","65","30.8","24.4","16.7","112","0.75","749","0.523","188","0.324","0.516","0.533","16.2","7.9","6.1","0.8","0.4","2.9","24","22.3","30.2","12","108.6","109.6"
"88","Evan Mobley","Cle","C","21.7","70","34.2","20.5","14.1","276","0.681","742","0.592","95","0.211","0.56","0.587","16.1","8.9","2.7","0.8","1.4","2","25","18.8","27.8","8.5","116.5","103.4"
"89","Russell Westbrook","Lal","G","34.3","52","28.7","28.8","20.2","238","0.655","516","0.467","213","0.296","0.46","0.496","15.9","6.2","7.5","1","0.4","3.6","22.1","23.4","29.6","12.6","100.7","106.9"
"90","Scottie Barnes","Tor","F","21.6","67","35.3","20.5","13.3","225","0.773","701","0.499","202","0.297","0.487","0.526","15.7","7","4.8","1","0.8","2.1","22.7","20.6","27.5","9.2","112.8","112"
"91","De'Andre Hunter","Atl","F-G","25.3","59","32","19.7","9.3","194","0.825","469","0.522","254","0.358","0.528","0.571","15.6","4.2","1.4","0.5","0.3","1.3","19.8","17.1","21.3","5.6","112.3","111.2"
"92","Devonte' Graham","San","G","28.1","13","28.2","21","10.3","50","0.8","39","0.462","108","0.389","0.551","0.598","15.5","2.8","4.6","0.7","0.4","1.3","18.3","20.2","22.9","8.3","124.3","119.2"
"93","Brook Lopez","Mil","C","35","68","30.7","19","11","152","0.757","447","0.622","333","0.381","0.601","0.621","15.5","6.7","1.3","0.5","2.5","1.4","22.2","16.8","23.5","6.7","120.5","105.7"
"94","Jaden Ivey","Det","G","21.1","63","30.3","24.9","19.1","307","0.726","522","0.454","274","0.332","0.469","0.521","15.4","3.9","4.9","0.9","0.3","3","19.3","20.3","24.2","8.8","102.7","111.7"
"95","Wendell Carter Jr.","Orl","C-F","23.9","47","29.9","21","16.2","171","0.737","336","0.622","175","0.337","0.582","0.615","15.3","8.8","2.5","0.4","0.6","2.1","24.1","17.8","26.6","9.3","117.5","106.3"
"96","P.J. Washington","Cha","F","24.6","66","32.8","19.8","10.3","154","0.734","479","0.514","378","0.352","0.52","0.543","15.2","4.9","2.3","0.9","1.1","1.5","20.1","17.6","22.4","6.8","107.5","111.3"
"97","Harrison Barnes","Sac","F","30.8","69","32.9","17","10.3","347","0.847","362","0.558","307","0.368","0.555","0.631","15","4.7","1.6","0.7","0.1","1.1","19.7","16.6","21.3","5.9","125.6","115.7"
"98","Kevin Huerter","Sac","G-F","24.6","66","29.6","19.5","10.5","118","0.712","305","0.6","441","0.408","0.607","0.62","15","3.2","2.9","1.1","0.3","1.3","18.2","17.9","21.1","7","119.5","110.9"
"99","Saddiq Bey","Det","F","23.9","52","28.8","21.2","8.2","209","0.861","313","0.46","293","0.345","0.488","0.552","14.8","4.7","1.6","1","0.2","1","19.5","16.4","21.1","6.7","114.8","115.7"
"100","Jakob Poeltl","Tor","C","27.4","14","28.4","18","10.3","53","0.623","130","0.669","0","0","0.669","0.675","14.8","9.5","2.8","1.6","1.6","1.1","24.3","17.6","27.1","10.3","138.3","102.8"
"101","Malcolm Brogdon","Bos","G","30.3","59","25.8","22.7","12.7","159","0.881","366","0.505","261","0.456","0.58","0.622","14.7","4.2","3.6","0.6","0.3","1.5","18.9","18.3","22.5","9.4","121.8","108.8"
"102","Alperen Sengun","Hou","C","20.6","63","28.3","21.5","19.4","243","0.733","616","0.573","44","0.318","0.567","0.604","14.7","8.7","3.9","0.9","0.9","2.5","23.4","18.6","27.3","11.2","118.2","107.5"
"103","Tobias Harris","Phi","F","30.7","63","33","18.4","9.3","105","0.876","456","0.561","281","0.377","0.563","0.589","14.6","5.8","2.5","1","0.6","1.2","20.4","17.1","22.9","7.2","116.9","109.7"
"104","Khris Middleton","Mil","F","31.6","26","23.7","27.4","14.8","84","0.905","188","0.495","123","0.317","0.487","0.545","14.6","4","4.8","0.8","0.2","2.1","18.6","19.4","23.4","11","112.7","104.2"
"105","Jarrett Allen","Cle","C","24.9","62","33","16.4","13.2","202","0.728","563","0.657","9","0.111","0.649","0.673","14.4","9.8","1.7","0.8","1.2","1.4","24.2","16","25.8","7.5","132.6","104.8"
"106","Gordon Hayward","Cha","F","33","45","31.7","19.8","14.9","138","0.797","373","0.525","148","0.324","0.514","0.555","14.4","4.3","4","0.9","0.3","2","18.7","18.3","22.7","7.9","108.8","115.2"
"107","Collin Sexton","Uta","G","24.2","47","24","23.1","15.4","197","0.822","338","0.538","117","0.41","0.558","0.618","14.3","2.2","2.9","0.6","0.1","1.8","16.5","17.1","19.3","7.5","120.2","112.1"
"108","Dillon Brooks","Mem","G-F","27.1","62","30.4","22.1","9.4","131","0.786","491","0.442","367","0.313","0.454","0.482","14.2","3.3","2.5","0.9","0.2","1.4","17.5","16.8","20","6.4","100.5","104.9"
"109","Tim Hardaway Jr.","Dal","G-F","31","63","30.3","20.8","6.5","145","0.759","262","0.416","497","0.38","0.517","0.544","14.2","3.6","1.8","0.7","0.2","0.8","17.8","16","19.6","6","108.8","114.2"
"110","Bogdan Bogdanovic","Atl","G","30.6","43","28.5","20.1","9.5","62","0.806","214","0.486","289","0.401","0.553","0.571","14.1","3.2","2.9","0.8","0.3","1.2","17.3","17","20.2","7.1","113.9","114.4"
"111","Jonas Valanciunas","Nor","C","30.9","66","24.4","23.4","16.1","190","0.821","572","0.582","96","0.344","0.573","0.613","14","9.5","1.7","0.2","0.5","1.9","23.5","15.6","25.2","10","117.1","100.8"
"112","Luguentz Dort","Okc","G","23.9","63","30.3","20.1","9.9","218","0.78","396","0.447","348","0.339","0.476","0.523","13.9","4.4","2.2","1","0.3","1.3","18.3","16.2","20.5","6.8","109.9","107.9"
"113","Cameron Johnson","Pho","F","27","17","25.3","19.6","5.5","33","0.818","74","0.5","99","0.455","0.604","0.629","13.9","3.8","1.5","0.9","0.4","0.6","17.7","15.4","19.2","6.8","127.5","110.3"
"114","Markelle Fultz","Orl","G","24.8","49","29.9","21.1","17.5","122","0.803","482","0.537","66","0.303","0.527","0.562","13.8","4.1","5.6","1.5","0.4","2.4","17.9","19.4","23.5","9.1","112.9","109.8"
"115","Bobby Portis","Mil","F","28.1","59","26","21.3","9.8","96","0.823","465","0.57","198","0.343","0.554","0.576","13.8","9.6","1.6","0.4","0.2","1.2","23.4","15.4","25","9.2","117.7","104.4"
"116","Rudy Gobert","Min","C","30.7","58","30.5","16.4","17.6","279","0.649","454","0.676","3","0","0.672","0.686","13.7","11.4","1","0.8","1.4","1.7","25.1","14.7","26.1","7.1","129","103.6"
"117","Malik Monk","Sac","G","25.1","66","22.5","25.9","16.2","184","0.886","349","0.547","335","0.355","0.54","0.59","13.7","2.7","3.9","0.6","0.2","2","16.3","17.6","20.2","9.3","113.7","112.4"
"118","Immanuel Quickley","Nyk","G","23.7","70","28.5","19.6","9.1","183","0.825","385","0.525","370","0.362","0.534","0.573","13.7","4.2","3.2","0.9","0.2","1.1","17.8","16.9","21","8","121.6","109.5"
"119","Jalen Williams","Okc","G-F","21.9","64","29.8","18.1","13.3","160","0.788","481","0.584","175","0.349","0.568","0.6","13.6","4.4","3.2","1.4","0.5","1.6","18","16.8","21.2","7.7","118.2","108.9"
"120","Chris Paul","Pho","G","37.9","49","32.1","19.1","15.4","142","0.817","333","0.483","210","0.357","0.504","0.547","13.5","4.2","9.1","1.6","0.4","2","17.8","22.6","26.8","10","120.8","109.4"
"121","Malik Beasley","Uta","G","26.3","55","26.7","21.3","8.2","44","0.841","198","0.485","471","0.359","0.522","0.535","13.4","3.6","1.7","0.8","0.1","1.1","17","15.1","18.7","6.5","107.8","115"
"122","Trey Murphy III","Nor","F","22.7","66","29.8","16.2","7.7","137","0.905","248","0.601","385","0.4","0.6","0.638","13.4","3.7","1.4","1","0.5","0.8","17.1","14.8","18.5","5.5","126.1","110.3"
"123","Russell Westbrook","Lac","G","34.3","9","29.2","23.6","24","21","0.714","73","0.562","28","0.286","0.525","0.549","13.4","4.4","7.4","1.4","0.3","3.6","17.9","20.9","25.3","10.4","106.5","107.2"
"124","Jusuf Nurkic","Por","C","28.6","49","26.6","22.3","19.5","179","0.659","364","0.563","109","0.358","0.557","0.584","13.2","9.1","2.9","0.8","0.8","2.3","22.3","16","25.2","10.6","112.1","102.5"
"125","James Wiseman","Det","C","22","13","26.4","21.6","14.8","29","0.655","127","0.575","11","0.182","0.551","0.567","13.2","9","0.7","0.2","1.1","1.8","22.2","13.8","22.8","6.6","106.7","107.8"
"126","Eric Gordon","Hou","G","34.2","47","30.2","18.1","14.8","135","0.815","233","0.536","245","0.347","0.528","0.572","13.1","2.1","2.9","0.6","0.4","1.8","15.1","16","18","5.7","112.5","121.5"
"127","Rui Hachimura","Was","F","25.1","30","24.3","23.1","10","58","0.759","235","0.545","89","0.337","0.534","0.558","13","4.3","1.2","0.4","0.4","1.2","17.3","14.2","18.4","6.7","106.5","113"
"128","Alec Burks","Det","G","31.7","51","22","22.6","11.2","188","0.814","220","0.459","239","0.414","0.544","0.602","12.8","3.1","2.2","0.7","0.2","1.1","15.9","15","18.1","8.1","119.8","112.3"
